file,obj_id,class,xmax,xmin,ymax,ymin
2008_004646,2,aeroplane,369,127,52,1
2008_004646,3,aeroplane,500,386,153,116
2008_004646,4,aeroplane,156,1,309,124
2008_004646,5,aeroplane,358,245,80,52
2008_004646,6,person,441,427,225,191
2008_004646,7,person,428,414,213,186
2008_004646,8,person,361,347,186,158
2008_004646,9,person,400,386,209,187
2008_004646,10,person,380,371,207,185
2008_004646,11,person,384,377,191,179
2008_004646,12,person,392,382,190,179
2008_004646,13,aeroplane,119,7,63,19
2010_000299,0,bird,277,200,244,205
2009_002139,2,person,500,375,375,174
2011_000829,12,person,287,13,390,38
2011_000829,13,person,464,263,343,63
2011_006280,0,person,214,150,453,235
2011_006280,1,person,120,48,432,237
2011_006280,2,person,313,255,394,211
2008_002551,0,aeroplane,500,1,375,174
2009_004548,0,aeroplane,431,65,250,158
2009_004548,1,person,21,4,256,210
2008_006737,0,sofa,451,166,356,167
2008_006737,1,sofa,110,1,375,219
2008_006737,2,sofa,155,25,243,165
2008_006737,3,sofa,294,161,214,159
2008_006737,4,sofa,498,379,242,157
2011_005951,0,person,221,195,243,181
2011_005789,0,person,321,164,316,16
2008_000346,0,person,216,123,309,67
2012_001052,0,person,313,180,458,60
2012_001052,1,person,163,41,431,95
2012_000358,0,person,431,132,375,88
2011_004483,0,person,230,1,471,75
2012_001046,0,person,300,1,500,110
2008_004134,0,person,500,290,375,46
2008_004134,1,person,292,1,375,28
2012_003889,0,person,391,243,284,27
2011_006294,0,person,240,81,383,77
2008_003883,1,person,320,237,244,95
2012_003651,0,person,203,154,222,108
2012_003651,1,person,275,209,229,119
2012_003651,2,person,78,17,234,128
2009_002893,0,sofa,471,1,375,1
2009_002893,1,person,376,1,346,136
2012_003137,0,person,284,3,366,1
2012_002229,0,person,140,104,229,170
2012_001720,0,person,180,57,330,95
2012_001720,1,person,444,403,240,137
2012_001720,2,person,327,301,233,144
2010_005493,2,person,307,22,174,1
2009_004212,0,person,247,202,215,133
2009_002663,5,sofa,500,402,201,114
2008_008040,1,person,318,243,174,65
2008_008040,2,person,256,217,229,151
2011_002964,0,person,472,356,375,50
2011_002964,1,person,225,134,280,20
2009_000074,1,person,334,143,224,25
2008_001702,1,person,299,97,500,66
2012_000416,0,person,474,315,324,194
2012_000416,1,person,322,180,316,206
2008_008726,1,person,469,432,256,209
2008_003673,0,aeroplane,497,27,197,64
2008_003673,4,aeroplane,500,407,169,150
2012_004116,0,person,427,208,333,22
2008_003667,1,person,275,72,373,242
2012_004102,0,person,453,6,375,160
2012_004102,1,person,404,80,247,1
2008_002579,0,person,474,244,375,90
2008_002579,1,person,265,63,375,99
2008_002579,2,person,500,441,361,96
2008_002579,3,person,49,1,375,190
2009_004560,0,sofa,500,1,375,1
2012_000364,0,person,463,62,375,73
2008_000408,0,person,238,75,278,88
2008_000408,1,person,413,300,299,125
2008_000408,2,person,61,1,271,97
2008_000408,3,person,275,230,197,143
2008_000408,4,person,224,179,170,101
2008_000408,5,person,89,52,197,143
2009_000060,2,person,242,189,153,107
2012_000402,0,person,291,98,500,129
2008_005570,1,person,115,1,357,119
2008_005570,2,person,135,71,232,128
2008_005570,3,person,234,143,218,113
2008_005570,4,person,356,284,269,113
2008_005570,5,person,464,339,307,99
2008_005570,6,person,500,362,375,209
2008_005570,7,person,418,361,165,65
2008_005570,8,person,357,294,183,72
2008_005570,9,person,342,292,103,79
2008_002948,0,sofa,398,89,375,58
2012_003484,0,person,151,77,244,62
2012_002942,0,person,391,361,178,116
2012_002942,1,person,217,182,165,105
2012_002942,2,person,348,301,182,114
2008_001299,0,person,389,1,375,53
2011_004656,0,person,500,264,353,84
2011_004656,1,person,312,183,70,1
2011_002227,1,person,276,259,214,120
2011_002227,2,person,246,170,270,160
2011_002227,3,person,211,124,300,196
2011_002227,4,person,166,104,266,165
2011_002227,5,person,145,44,364,165
2011_002227,6,person,51,4,297,192
2011_003887,0,person,466,44,375,106
2010_005646,0,person,419,306,333,189
2010_005646,1,person,438,391,333,190
2010_005646,2,person,376,335,268,151
2011_006727,0,person,179,65,349,53
2011_006727,1,person,418,192,316,48
2010_001434,0,sofa,398,39,374,245
2011_000342,1,person,413,338,290,212
2008_004493,0,person,185,141,259,150
2008_004493,1,person,284,256,263,202
2011_006733,0,person,251,119,292,207
2007_006232,0,aeroplane,482,86,282,145
2012_000827,0,person,234,2,500,139
2011_002555,3,person,359,223,334,49
2007_007892,0,person,302,174,479,94
2012_001287,0,person,416,254,333,109
2012_001287,1,person,278,69,333,90
2008_000193,1,person,254,230,157,130
2012_002956,0,person,188,49,428,142
2008_002784,0,bird,244,113,422,172
2011_005574,0,person,318,116,500,94
2011_001712,0,bird,260,46,500,40
2011_005212,0,person,327,160,375,39
2011_005212,1,person,171,61,271,104
2008_000805,0,aeroplane,481,44,307,16
2010_004570,0,bird,242,166,199,115
2011_003677,0,person,480,1,375,37
2008_000811,0,person,476,313,352,52
2008_000811,1,person,255,29,328,49
2010_001408,0,person,181,163,312,266
2010_001408,1,person,187,175,284,267
2010_001408,2,person,197,188,286,267
2010_001408,3,person,152,140,308,266
2010_001408,4,person,144,123,319,262
2010_001408,5,person,105,62,377,259
2011_001060,1,person,390,293,305,61
2011_001060,2,person,295,171,375,22
2011_001060,3,person,177,122,262,102
2011_001060,4,person,122,57,275,105
2008_002960,0,person,427,255,292,73
2008_002960,2,person,222,46,375,92
2009_001801,0,person,321,171,375,60
2009_001801,1,bird,325,222,186,51
2009_001801,2,person,173,146,192,104
2009_001801,3,person,25,4,162,98
2011_003111,0,aeroplane,500,1,333,105
2010_004216,1,person,335,1,373,149
2010_003592,0,aeroplane,284,198,172,119
2010_002854,0,bird,376,305,153,89
2010_002854,1,bird,236,152,296,32
2010_002854,2,bird,156,65,375,261
2008_000144,1,person,287,185,241,56
2012_003447,0,person,252,183,201,100
2010_001385,1,person,123,1,375,111
2012_004328,0,person,166,59,415,220
2012_004328,1,person,268,219,332,226
2008_002753,0,person,176,70,500,151
2008_002753,1,person,260,175,500,203
2008_002753,2,person,325,173,500,158
2008_002753,3,person,375,311,338,183
2008_002035,0,person,250,53,333,47
2012_003321,0,person,250,97,217,67
2011_000395,0,person,500,1,382,1
2012_000628,0,person,405,299,333,13
2012_000628,1,person,194,45,333,92
2008_006253,1,person,328,118,434,19
2011_003844,0,person,432,194,333,94
2009_001154,1,person,296,2,411,42
2008_000622,0,person,339,142,191,87
2011_002582,0,bird,361,1,388,105
2011_003688,0,person,286,258,130,80
2011_003688,1,person,423,373,138,80
2008_000636,0,person,213,62,426,156
2008_000636,1,person,257,62,426,14
2008_000636,2,sofa,320,1,426,136
2009_001140,1,person,360,178,204,46
2011_003850,0,person,197,3,375,86
2010_006398,0,person,305,192,375,99
2010_000931,2,person,147,42,333,238
2008_002021,0,person,191,1,500,168
2011_006928,0,person,253,100,321,28
2012_003453,0,person,346,246,277,149
2012_002995,0,person,404,352,314,142
2012_002995,1,person,460,402,294,140
2007_004380,1,person,324,5,445,26
2007_004380,2,person,273,40,322,104
2011_001921,0,person,311,111,336,144
2012_001244,0,person,367,194,341,140
2008_005000,1,person,295,58,261,56
2009_003019,2,person,364,346,355,337
2009_003019,3,person,379,363,356,331
2009_003019,4,person,408,392,358,341
2009_003019,5,person,459,439,349,336
2011_001909,0,person,381,213,326,25
2012_002765,0,person,340,278,270,176
2012_002765,1,person,80,35,295,185
2012_002765,2,person,115,94,227,184
2012_002765,3,person,220,199,224,186
2012_002765,4,person,450,408,234,174
2008_007617,0,person,460,271,300,126
2008_007617,2,person,365,238,263,121
2008_007617,3,person,188,23,375,146
2011_004871,0,person,231,2,377,4
2008_008524,1,sofa,190,1,332,155
2008_008524,2,person,393,348,145,62
2008_008524,3,person,462,385,212,48
2008_008524,4,person,368,314,187,67
2008_008524,5,person,319,276,199,73
2008_008524,6,person,281,231,173,63
2008_008524,7,person,240,200,189,71
2008_008524,8,person,207,171,176,79
2008_008524,9,person,173,118,159,114
2008_008524,10,person,160,117,185,131
2008_008524,11,person,230,185,257,143
2008_008524,12,person,305,228,258,157
2008_008524,13,person,353,286,274,169
2008_008524,14,person,418,330,315,198
2008_008524,15,person,352,263,322,195
2008_008524,16,person,301,205,296,160
2008_008524,17,person,213,133,310,158
2008_008524,18,person,142,29,321,126
2008_008524,19,person,154,81,227,132
2012_000172,0,person,425,281,240,80
2012_000172,1,person,500,213,375,95
2011_003878,0,person,273,106,334,75
2008_007171,1,person,40,2,118,51
2008_007171,2,person,26,1,122,53
2008_008242,0,bird,348,1,500,58
2008_004478,0,person,359,62,429,48
2008_002009,0,person,328,139,375,161
2008_002009,1,person,320,194,375,150
2008_002009,2,person,449,409,156,46
2008_002009,3,person,423,400,139,49
2008_002009,4,person,471,442,72,49
2011_006900,0,person,176,92,356,239
2012_002017,0,person,189,149,314,217
2011_006914,0,person,254,74,331,119
2009_004004,0,person,381,164,375,116
2012_003309,0,person,280,95,500,313
2012_003309,1,person,135,89,341,276
2012_003309,2,person,242,172,326,241
2012_000600,0,person,364,118,500,68
2008_001514,0,bird,391,129,262,66
2010_005875,2,person,412,315,289,126
2008_008530,1,person,202,98,225,58
2008_001272,0,person,500,449,334,77
2008_001272,1,person,372,318,174,78
2008_001272,2,person,364,316,216,115
2008_001272,3,person,362,238,375,91
2008_001272,4,person,172,102,279,89
2008_001272,5,person,202,144,252,90
2012_000166,0,person,369,121,375,39
2012_004300,0,person,277,243,131,100
2012_002771,0,person,347,154,346,77
2008_008257,0,bird,280,1,375,144
2009_002474,0,person,500,39,358,73
2009_002474,1,person,245,1,358,32
2012_002016,0,person,173,78,182,22
2012_002016,1,person,365,296,181,58
2009_002312,0,person,148,137,226,205
2008_003464,0,person,285,1,467,84
2007_002914,1,person,500,287,374,13
2007_009841,0,person,171,79,226,148
2009_000505,1,person,477,279,273,25
2009_000505,2,person,351,158,256,43
2009_000505,3,person,500,1,333,119
2009_000505,4,sofa,500,2,333,28
2011_004864,0,person,356,190,347,51
2012_001279,0,person,387,294,360,295
2012_001279,1,person,34,1,138,87
2009_000511,0,person,500,221,179,1
2007_007878,1,person,375,114,346,140
2011_004870,0,person,275,250,236,188
2011_004870,1,person,287,262,238,191
2011_004870,2,person,190,177,222,188
2011_004870,3,person,201,182,222,187
2012_002764,0,person,255,62,375,33
2012_004315,0,person,473,392,375,239
2008_005001,6,person,328,295,202,144
2010_000918,0,bird,147,80,117,50
2008_003316,2,person,292,203,213,100
2008_003316,3,person,375,338,222,160
2012_002002,0,person,108,77,444,304
2008_004479,0,person,500,238,219,25
2011_003879,0,person,160,82,202,46
2008_001501,0,person,83,20,268,135
2008_001501,1,person,132,93,263,152
2008_001501,2,person,187,146,261,132
2008_001501,3,person,252,186,273,134
2008_001501,4,person,312,237,274,146
2008_001501,5,person,374,285,277,164
2008_001501,6,person,199,175,237,180
2008_001501,7,person,430,402,288,199
2008_001501,8,person,446,422,283,196
2008_001501,9,person,15,1,196,163
2008_001501,10,person,356,337,236,183
2009_000277,1,person,374,119,500,35
2011_000380,0,person,176,58,462,157
2009_002448,0,aeroplane,333,18,383,101
2008_005997,0,bird,223,137,230,128
2012_001523,0,person,287,199,321,182
2008_001529,1,person,185,168,242,209
2008_001529,2,person,233,216,230,208
2011_003689,0,person,225,42,353,139
2011_003689,1,person,395,19,364,1
2009_000539,1,person,500,128,333,1
2008_000151,0,aeroplane,275,244,261,225
2011_004858,0,person,498,189,489,99
2012_001245,0,person,385,274,352,168
2009_004987,1,person,225,51,165,39
2008_002746,3,person,179,102,307,136
2008_002746,4,person,46,1,285,125
2008_002746,5,person,293,219,307,156
2011_001920,1,person,188,1,315,44
2011_001920,2,person,410,160,375,37
2011_001920,3,person,499,107,375,98
2010_001390,2,sofa,500,1,305,1
2012_002758,0,person,284,154,281,53
2012_002758,1,person,442,328,333,51
2009_004993,0,sofa,407,113,373,145
2012_004329,0,person,284,57,397,88
2008_002752,2,person,319,253,283,90
2008_002752,3,person,270,216,256,112
2008_002752,4,person,230,108,313,158
2008_002752,5,person,164,48,375,217
2011_004694,0,person,106,51,282,182
2011_004694,1,person,226,106,304,152
2010_002855,1,person,186,1,375,149
2008_008519,0,aeroplane,487,17,250,119
2008_008519,1,person,326,294,252,216
2008_008519,2,person,59,20,304,179
2008_008519,3,person,115,46,303,172
2008_008519,4,person,414,398,234,225
2008_008519,5,person,431,414,234,222
2009_001155,1,person,500,165,333,5
2008_000623,0,person,333,1,500,100
2010_005684,1,person,332,200,272,12
2011_001061,0,person,208,122,288,76
2010_000717,0,person,489,401,211,76
2010_000717,1,person,259,177,206,74
2010_000717,2,person,84,30,191,70
2010_002100,0,person,435,14,500,9
2011_002568,0,bird,273,117,231,134
2011_002568,1,bird,355,254,245,140
2008_008294,0,aeroplane,323,125,271,75
2011_005561,0,person,434,121,375,111
2010_002666,0,bird,339,216,253,130
2010_006400,0,person,298,137,375,67
2011_001707,1,person,409,5,334,6
2008_002961,0,bird,429,237,317,71
2008_002961,1,bird,217,143,345,121
2011_006068,0,person,220,187,173,117
2010_006414,0,person,247,229,253,182
2010_006414,1,person,266,247,249,190
2011_001713,2,sofa,500,253,375,150
2007_005074,7,bird,472,419,297,260
2008_000804,0,aeroplane,466,60,296,98
2011_003662,0,person,259,53,344,136
2011_003662,1,person,494,398,416,115
2011_003662,2,person,497,358,387,13
2011_005213,0,person,231,103,398,243
